2026-03-28 19:13:33,430 [INFO] werkzeug:  * Restarting with watchdog (windowsapi)
2026-03-28 19:13:42,909 [WARNING] werkzeug:  * Debugger is active!
2026-03-28 19:13:42,948 [INFO] werkzeug:  * Debugger PIN: 536-506-701
2026-03-28 19:14:01,390 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0412s | Status: SUCCESS
2026-03-28 19:14:07,113 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 250} | Time: 0.0175s | Status: SUCCESS
2026-03-28 19:14:07,445 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 255} | Time: 0.0191s | Status: SUCCESS
2026-03-28 19:14:11,948 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 223, 'high': 255} | Time: 0.0162s | Status: SUCCESS
2026-03-28 19:14:12,330 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 227, 'high': 255} | Time: 0.0109s | Status: SUCCESS
2026-03-28 19:14:14,463 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 0, 'high': 255} | Time: 0.0237s | Status: SUCCESS
2026-03-28 19:14:17,230 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 66, 'high': 255} | Time: 0.0215s | Status: SUCCESS
2026-03-28 19:14:17,880 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 131, 'high': 255} | Time: 0.0175s | Status: SUCCESS
2026-03-28 19:14:20,913 [INFO] CV_Playground: Algorithm: Edge_sobel | Params: {'low': 131, 'high': 255} | Time: 0.0504s | Status: SUCCESS
2026-03-28 19:14:27,269 [INFO] CV_Playground: Algorithm: Edge_laplacian | Params: {'low': 131, 'high': 255} | Time: 0.0356s | Status: SUCCESS
2026-03-28 19:14:36,729 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.5604s | Status: SUCCESS
2026-03-28 19:14:40,730 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 1008} | Time: 0.0389s | Status: SUCCESS
2026-03-28 19:14:41,080 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 1371} | Time: 0.0298s | Status: SUCCESS
2026-03-28 19:14:41,920 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 2000} | Time: 0.0368s | Status: SUCCESS
2026-03-28 19:14:55,399 [INFO] CV_Playground: Algorithm: Feature_sift | Params: {'keypoints': 1392} | Time: 0.4613s | Status: SUCCESS
2026-03-28 19:14:57,583 [ERROR] CV_Playground: API Error: OpenCV(4.9.0) :-1: error: (-5:Bad argument) in function 'KeyPoint'
> Overload resolution failed:
>  - Argument 'x' can not be safely parsed to 'float'

2026-03-28 19:17:26,097 [INFO] CV_Playground: Algorithm: Seg_kmeans | Params: {'k': 11} | Time: 139.3648s | Status: SUCCESS
2026-03-28 19:18:04,730 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 64, 'blockSize': 15} | Time: 0.2354s | Status: SUCCESS
2026-03-28 19:18:07,590 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 64, 'blockSize': 5} | Time: 0.2195s | Status: SUCCESS
2026-03-28 19:18:11,330 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 128, 'blockSize': 5} | Time: 0.2821s | Status: SUCCESS
2026-03-28 19:18:12,957 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 16, 'blockSize': 5} | Time: 0.0948s | Status: SUCCESS
2026-03-28 19:18:14,480 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 64, 'blockSize': 5} | Time: 0.1704s | Status: SUCCESS
2026-03-28 19:18:15,791 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 96, 'blockSize': 5} | Time: 0.4663s | Status: SUCCESS
2026-03-28 19:18:17,845 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 96, 'blockSize': 29} | Time: 0.2759s | Status: SUCCESS
2026-03-28 19:18:19,304 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 96, 'blockSize': 43} | Time: 0.4101s | Status: SUCCESS
2026-03-28 19:18:21,838 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 96, 'blockSize': 51} | Time: 0.2582s | Status: SUCCESS
